MonitoringLocationIdentifier,MonitoringLocationName,LatitudeMeasure,LongitudeMeasure
USGS-06891000,"KANSAS R AT LECOMPTON, KS",39.05111157,-95.3863633
USGS-06891486,"WB YANKEE TANK C NR LAWRENCE, KS",38.9477801,-95.324974
USGS-06891488,"EB YANKEE TANK C NR LAWRENCE, KS",38.94722459,-95.3191405
USGS-06891490,"YANKEE TANK C NR LAWRENCE, KS",38.9352804,-95.3163628
USGS-06891500,"WAKARUSA R NR LAWRENCE, KS",38.9113923,-95.261084
USGS-06892350,"KANSAS R AT DESOTO, KS",38.9833375,-94.9646893
USGS-06892360,"KILL C AT 95TH ST NR DESOTO, KS",38.95666667,-94.9736111
USGS-06892440,"CEDAR C AT HWY 56 AT OLATHE, KS",38.85916667,-94.8538889
USGS-06892490,"CEDAR C NR CEDAR JUNCTION, KS",38.9363943,-94.9085762
USGS-06892495,"CEDAR C NR DESOTO, KS",38.97805556,-94.9227778
USGS-06892500,"KANSAS R AT BONNER SPRINGS, KS",39.06028169,-94.8727418
USGS-06892513,"MILL C AT JOHNSON DRIVE, SHAWNEE, KS",39.02916667,-94.8172222
USGS-385827094490500,"MILL C AT 85TH ST, LENEXA, KS",38.974175,-94.81795
USGS-385906094524400,"CLEAR C AT 79TH ST, LENEXA, KS",38.985,-94.8788889
USGS-385908094445900,"L MILL C AT 79TH ST, LENEXA, KS",38.98555556,-94.7497222
USGS-385937094420300,"TURKEY C NR 75TH ST, OVERLAND PARK,  KS",38.9936222,-94.7008917
USGS-390056094493200,"CLEAR C AT WOODLAND RD, SHAWNEE, KS",39.01556039,-94.8257963
21KAN001_WQX-SC109,Wakarusa River Near Topeka,38.89181,-95.59458
21KAN001_WQX-SC127,Kansas River At Wyandotte County Line,39.04606,-94.78931
21KAN001_WQX-SC203,"Kansas River At Kansas City, Kansas",39.11148,-94.61644
21KAN001_WQX-SC236,Wakarusa River Below Clinton Lake Dam,38.91098,-95.26038
21KAN001_WQX-SC250,Kansas River At Bonner Springs,39.05927,-94.87131
21KAN001_WQX-SC251,Mill Creek Near Shawnee,39.00939,-94.81604
21KAN001_WQX-SC252,Cedar Creek Near Cedar Junction,38.95652,-94.91543
